name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Rental unit in Vienna · ★4.88 · 2 bedrooms · 3 beds · 1 bath,Jennifer,Innere Stadt,48.20541,16.36867,Entire home/apt,172,3,131,0.99,3,44,27
Rental unit in Vienna · ★4.36 · 1 bedroom · 1 bed · 1 bath,Michael,Margareten,48.19353,16.36057,Entire home/apt,56,1,69,0.74,35,344,13
Rental unit in Vienna · ★4.63 · 1 bedroom · 1 bed · 1.5 baths,Michael,Margareten,48.19536,16.35912,Private room,41,30,27,0.48,35,0,1
Rental unit in Vienna · ★4.52 · 1 bedroom · 2 beds · 1.5 baths,Michael,Margareten,48.19407,16.35876,Entire home/apt,68,30,24,0.17,35,361,0
Rental unit in Vienna · ★4.41 · 1 bedroom · 1 bed · 1.5 shared baths,Michael,Margareten,48.19465,16.36058,Private room,29,30,23,0.17,35,335,3
Rental unit in Vienna · 1 bedroom · 1 bed · Private half-bath,Michael,Margareten,48.19369,16.35899,Private room,39,30,1,0.02,35,90,0
Rental unit in Vienna · ★4.75 · 1 bedroom · 2 beds · 1 bath,Familien,Landstra§e,48.19148,16.39017,Entire home/apt,59,3,213,1.48,2,273,32
Rental unit in Vienna · ★4.75 · 1 bedroom · 2 beds · 1.5 baths,Michael,Margareten,48.19446,16.36087,Entire home/apt,65,30,39,0.27,35,287,1
Rental unit in Vienna · 1 bedroom · 1 bed · 1 bath,Sylvia,Simmering,48.17691,16.41262,Entire home/apt,65,7,1,0.01,2,0,0
Rental unit in Vienna · ★4.50 · 1 bedroom · 3 beds · 1 bath,Michael,Margareten,48.19554,16.35863,Entire home/apt,62,30,57,0.39,35,335,0
Rental unit in Vienna · ★4.76 · 1 bedroom · 1 bed · 1 bath,Barbara,Mariahilf,48.19285,16.34503,Entire home/apt,98,2,50,0.38,3,74,8
Rental unit in Vienna · ★4.74 · 1 bedroom · 1 bed · 1 bath,Ramona & Alex,Landstra§e,48.19306,16.38798,Entire home/apt,64,5,472,3.44,4,226,54
Rental unit in Vienna · ★4.50 · 1 bedroom · 3 beds · 1 bath,Michael,Margareten,48.1935,16.35862,Entire home/apt,67,1,30,0.32,35,349,6
Rental unit in Vienna · ★4.51 · 1 bedroom · 3 beds · 1 bath,Michael,Margareten,48.19532,16.35901,Entire home/apt,65,1,59,0.62,35,153,15
Rental unit in Vienna · ★4.92 · 1 bedroom · 1 bed · 1 bath,Judith,Leopoldstadt,48.21928,16.38104,Entire home/apt,58,3,125,0.88,2,172,27
Rental unit in Vienna · ★4.86 · 1 bedroom · 1 bed · 1 bath,Christine,Rudolfsheim-Fnfhaus,48.19983,16.33778,Entire home/apt,76,1,743,5.44,2,193,71
Rental unit in Vienna · ★4.84 · 2 bedrooms · 5 beds · 1.5 baths,Ingela,Neubau,48.20549,16.35443,Entire home/apt,246,7,235,1.63,15,299,3
Rental unit in Vienna · ★4.72 · 2 bedrooms · 2 beds · 1 bath,Christian,Leopoldstadt,48.21992,16.37994,Entire home/apt,86,2,171,1.19,1,137,25
Rental unit in Vienna · ★4.73 · 1 bedroom · 1 bed · 1 bath,Lee,Josefstadt,48.21189,16.34926,Entire home/apt,50,3,166,1.21,1,170,31
Rental unit in Vienna · ★4.92 · 1 bedroom · 1 bed · 1 bath,Judith,Leopoldstadt,48.21928,16.38104,Entire home/apt,58,3,108,0.78,2,163,21
Rental unit in Vienna · ★5.0 · 1 bedroom · 1 bed · 2 baths,Isabella Tabibian,Margareten,48.18747,16.34898,Entire home/apt,112,4,8,0.06,1,365,2
Rental unit in Vienna · ★4.58 · 2 bedrooms · 7 beds · 1 bath,Marina,Mariahilf,48.19156,16.33941,Entire home/apt,120,2,46,0.49,6,354,7
Rental unit in Vienna · ★5.0 · 1 bedroom · 1 bed · 1 bath,Cecilia & Walfried,Wieden,48.19916,16.36657,Entire home/apt,139,14,7,0.11,7,270,0
Rental unit in Vienna · ★4.39 · 1 bedroom · 2 beds · 1 bath,Andreas,Brigittenau,48.23536,16.38022,Entire home/apt,64,2,53,0.39,5,56,9
Rental unit in Vienna · ★4.75 · 1 bedroom · 1 bed · 1 bath,Stephanie,Wieden,48.19204,16.36592,Entire home/apt,66,2,225,1.64,4,315,39
Rental unit in Vienna · ★4.70 · 1 bedroom · 1 bed · 1 bath,Ramona & Alex,Landstra§e,48.19306,16.38798,Entire home/apt,54,5,517,3.76,4,204,54
Rental unit in Vienna · ★4.69 · 1 bedroom · 1 bed · 1 bath,Stephanie,Wieden,48.19328,16.36755,Entire home/apt,67,2,256,1.91,4,323,44
Rental unit in Vienna · ★4.85 · 2 bedrooms · 7 beds · 3 baths,Christoph,Wieden,48.19762,16.37036,Entire home/apt,268,3,40,0.43,6,126,4
Rental unit in Vienna · ★4.57 · 1 bedroom · 2 beds · 1 bath,Hotel Klimt,Penzing,48.19676,16.28851,Entire home/apt,123,1,9,0.07,8,362,1
Rental unit in Vienna · ★4.89 · 1 bedroom · 1 bed · 1 bath,Katerina,Brigittenau,48.23429,16.36409,Entire home/apt,52,3,295,2.14,4,213,16
Rental unit in Vienna · 1 bedroom · 1 bed,Manuela,Rudolfsheim-Fnfhaus,48.1969,16.31793,Private room,40,14,0,1.6300273504273504,1,0,0
Rental unit in Vienna · ★4.88 · 1 bedroom · 2 beds · 1.5 baths,Gisella,Brigittenau,48.22875,16.37405,Entire home/apt,77,20,123,0.97,18,267,8
Rental unit in Vienna · ★4.63 · Studio · 4 beds · 1 bath,Vienna,Leopoldstadt,48.21699,16.3839,Entire home/apt,91,5,181,1.27,5,265,22
Home in Vienna · ★4.55 · 1 bedroom · 2 beds · 1.5 baths,Nura,Favoriten,48.17297,16.37754,Entire home/apt,59,1,49,0.36,1,361,4
Rental unit in Vienna · ★4.52 · Studio · 2 beds · 1 bath,Belinda,Margareten,48.18461,16.35976,Entire home/apt,45,5,301,2.13,2,250,25
Rental unit in Vienna · ★4.77 · 2 bedrooms · 2 beds · 1 bath,Anna,Innere Stadt,48.20845,16.37722,Entire home/apt,270,28,119,0.89,2,160,4
Rental unit in Vienna · ★4.49 · 1 bedroom · 4 beds · 1 bath,Ingeborg,Brigittenau,48.23456,16.37933,Entire home/apt,65,2,81,0.57,1,17,12
Rental unit in Vienna · ★4.91 · 1 bedroom · 1 bed · 1 private bath,Christoph,Landstra§e,48.201212863382594,16.38976215094053,Private room,85,1,197,1.66,1,327,17
Rental unit in Vienna · ★4.67 · 2 bedrooms · 2 beds · 1.5 baths,Anna & Vladan,Innere Stadt,48.20994,16.3787,Entire home/apt,229,1,487,3.45,55,305,16
Rental unit in Vienna · ★4.32 · Studio · 1 bed · 1.5 baths,Christian,Ottakring,48.21517,16.31864,Entire home/apt,48,5,107,0.8,2,0,10
Serviced apartment in Vienna · ★4.64 · 1 bedroom · 2 beds · 1 bath,Kurt & Sabine,Landstra§e,48.19779,16.40265,Entire home/apt,69,4,14,0.1,4,192,8
Rental unit in Vienna · ★4.39 · 1 bedroom · 1 bed · 1.5 baths,Ursula,Josefstadt,48.20879,16.34266,Private room,56,1,194,1.46,1,326,39
Rental unit in Vienna · ★4.54 · 1 bedroom · 2 beds · 1 bath,Stephanie,Wieden,48.19356,16.36768,Entire home/apt,71,2,215,1.6,4,304,46
Rental unit in Vienna · ★4.81 · 1 bedroom · 1 bed · 2 baths,Michael,Margareten,48.19357,16.35849,Private room,45,1,55,0.4,35,1,1
Loft in Vienna · ★4.95 · 1 bedroom · 1 bed · 1 bath,Anna,Rudolfsheim-Fnfhaus,48.19813,16.31826,Entire home/apt,52,3,22,0.16,1,0,0
Rental unit in Vienna · ★4.37 · 1 bedroom · 1.5 baths,Michael,Margareten,48.1949,16.35879,Private room,47,1,49,0.35,35,339,19
Rental unit in Vienna · ★4.05 · 1 bedroom · 1 bed · 1 bath,Michael,Wieden,48.18916,16.36725,Entire home/apt,60,2,25,0.18,1,0,0
Condo in Vienna · ★3.60 · Studio · 1 bed · 1.5 baths,Appartements,Floridsdorf,48.26141,16.38739,Entire home/apt,65,5,5,0.06,3,358,1
Condo in Vienna · ★4.71 · 1 bedroom · 2 beds · 1 bath,Appartements,Floridsdorf,48.26134,16.38735,Entire home/apt,70,4,7,0.09,3,358,1
Condo in Vienna · 1 bedroom · 2 beds · 1.5 baths,Appartements,Floridsdorf,48.26149,16.38753,Entire home/apt,89,4,2,0.03,3,290,0
Rental unit in Vienna · ★4.88 · 2 bedrooms · 3 beds · 1 bath,Ingela,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,154,1,96,0.7,15,358,7
Rental unit in Vienna · 1 bedroom · 1 bed · 1 bath,Bettina,Innere Stadt,48.20638,16.37705,Entire home/apt,63,30,2,0.02,1,267,0
Rental unit in Vienna · ★4.28 · 1 bedroom · 1 bed · 1 bath,Robert,Leopoldstadt,48.21828,16.39093,Entire home/apt,81,20,53,0.68,15,118,2
Rental unit in Vienna · ★4.49 · 1 bedroom · 1 bed · 1 bath,Robert,Leopoldstadt,48.21886,16.38417,Entire home/apt,62,14,35,0.28,15,97,2
Rental unit in Vienna · ★4.82 · Studio · 1 bed · 1 bath,Anika,Landstra§e,48.20664,16.39123,Entire home/apt,134,2,90,0.78,4,257,9
Loft in Vienna · ★4.87 · 2 bedrooms · 2 beds · 1 bath,Thomas,Neubau,48.2031,16.34571,Entire home/apt,145,2,95,0.71,1,114,30
Rental unit in Vienna · ★4.90 · Studio · 2 beds · 1 bath,Andrei,Innere Stadt,48.20845,16.37793,Entire home/apt,115,3,523,3.86,2,240,69
Rental unit in Vienna · ★4.44 · 1 bedroom · 2 beds · 1 bath,Zen,Leopoldstadt,48.21733474731445,16.388891220092773,Entire home/apt,115,1,436,3.7,1,128,46
Rental unit in Vienna · ★4.43 · 1 bedroom · 1 bed · 1.5 baths,Veselinka,Landstra§e,48.19197,16.39073,Entire home/apt,52,2,158,1.39,2,307,0
Rental unit in Vienna · ★4.63 · 1 bedroom · 2 beds · 1 bath,Veselinka,Alsergrund,48.22974,16.35492,Entire home/apt,49,2,96,0.84,2,269,0
Rental unit in Vienna · ★4.79 · 3 bedrooms · 4 beds · 2.5 baths,Florian,Innere Stadt,48.20319,16.36675,Entire home/apt,422,3,135,1.25,64,344,21
Rental unit in Vienna · ★4.63 · 1 bedroom · 3 beds · 1 bath,Christian,Ottakring,48.21479,16.33843,Entire home/apt,123,1,332,2.47,13,244,22
Rental unit in Vienna · ★4.88 · 1 bedroom · 2 beds · 1.5 baths,Georg,Penzing,48.2001,16.30889,Entire home/apt,100,14,17,0.14,1,88,0
Rental unit in Vienna · ★4.85 · 1 bedroom · 2 beds · 1 bath,Nino,Whring,48.22439,16.34076,Entire home/apt,60,6,104,0.8,1,77,16
Rental unit in Vienna · ★4.85 · 1 bedroom · 3 beds · 1.5 baths,Eric,Neubau,48.20409,16.35473,Entire home/apt,98,3,301,2.23,1,208,35
Rental unit in Vienna · ★5.0 · 1 bedroom · 3 beds · 1 bath,Christiane,Margareten,48.19302,16.35635,Entire home/apt,75,30,26,0.24,3,262,8
Rental unit in Vienna · ★4.98 · 1 bedroom · 1 bed · 1 bath,Maria,Neubau,48.20142,16.3515,Entire home/apt,83,4,172,1.32,1,140,34
Rental unit in Vienna · ★4.50 · 3 bedrooms · 4 beds · 2 baths,Eva,Alsergrund,48.21876,16.36411,Entire home/apt,150,30,6,0.08,16,0,0
Rental unit in Vienna · ★4.73 · 1 bedroom · 1 bed · 1 bath,Kiki,Wieden,48.19295,16.36607,Entire home/apt,69,30,357,2.66,6,253,36
Rental unit in Vienna · ★4.87 · 3 bedrooms · 8 beds · 1.5 baths,Ingela,Rudolfsheim-Fnfhaus,48.18444,16.32717,Entire home/apt,249,1,216,1.72,15,348,16
Rental unit in Vienna · 1 bedroom · 2 beds · 1.5 baths,Andreas,Favoriten,48.16922,16.34352,Entire home/apt,165,6,2,0.02,1,362,0
Rental unit in Vienna · ★4.65 · 1 bedroom · 2 beds · 1 bath,Christoph,Neubau,48.19902,16.34679,Entire home/apt,130,1,182,1.42,1,0,0
Condo in Vienna · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,Wolfgang,Landstra§e,48.21218,16.38909,Entire home/apt,95,2,176,1.39,2,253,34
Rental unit in Vienna · ★4.32 · 1 bedroom · 3 beds · 1 bath,Harry,Landstra§e,48.1978,16.38387,Entire home/apt,65,3,359,2.81,29,328,22
Place to stay in Vienna · ★4.45 · 1 bedroom · 2 beds · 1 bath,Hotel Klimt,Penzing,48.19558,16.29074,Entire home/apt,123,2,21,0.22,8,337,0
Rental unit in Vienna · ★4.71 · Studio · 1 bed · 1 bath,Greg,Landstra§e,48.19108,16.38747,Entire home/apt,49,3,24,0.22,3,257,0
Rental unit in Vienna · ★4.64 · 2 bedrooms · 2 beds · 1.5 baths,Milica,Penzing,48.18894,16.30686,Entire home/apt,150,2,33,0.27,1,102,0
Rental unit in Vienna · ★4.62 · 1 bedroom · 1 bed · 1 bath,Daniela,Landstra§e,48.19922,16.40298,Entire home/apt,82,7,27,0.21,24,251,3
Rental unit in Vienna · 1 bedroom · 1 bed · 1 bath,Daniel,Wieden,48.19399,16.37698,Entire home/apt,90,3,0,1.6300273504273504,1,224,0
Rental unit in Vienna · ★4.83 · 1 bedroom · 1 bed · 1 bath,Tina Und Lisa,Neubau,48.20506,16.34056,Entire home/apt,92,4,273,2.14,2,211,27
Rental unit in Vienna · ★4.72 · 3 bedrooms · 3 beds · 1 bath,Peter,Wieden,48.19692,16.37234,Entire home/apt,148,5,166,1.26,1,0,0
Rental unit in Vienna · 1 bedroom · 1 bed · 1 bath,Edgar,Alsergrund,48.22708,16.35141,Private room,19,1,1,0.01,1,0,0
Rental unit in Vienna · ★4.81 · 1 bedroom · 2 beds · 1.5 baths,Marcus,Whring,48.22843,16.33584,Entire home/apt,68,2,176,1.37,2,315,28
Rental unit in Vienna · ★4.91 · 1 bedroom · 1 bed · 1 bath,Shantia,Alsergrund,48.2208,16.3674,Entire home/apt,59,1,117,0.91,1,4,10
Rental unit in Vienna · ★4.96 · 1 bedroom · 1 bed · 1 bath,Cecilia & Walfried,Wieden,48.19931,16.36627,Entire home/apt,142,14,26,0.2,7,240,0
Rental unit in Vienna · ★4.74 · 1 bedroom · 1 bed · 1 bath,Anna,Rudolfsheim-Fnfhaus,48.189,16.32601,Entire home/apt,80,1,143,1.13,1,213,1
Rental unit in Vienna · ★4.73 · 2 bedrooms · 2 beds · 1 bath,Ilana,Josefstadt,48.21022,16.35098,Entire home/apt,102,2,502,3.78,2,278,63
Rental unit in Vienna · ★4.67 · 1 bedroom · 1 bed · 1 bath,Georg,Whring,48.22025,16.34036,Entire home/apt,78,3,63,0.5,1,355,0
Rental unit in Vienna · ★4.65 · 2 bedrooms · 2 beds · 1.5 baths,Sabine,Josefstadt,48.20779,16.35093,Entire home/apt,75,7,71,0.56,1,0,0
Condo in Vienna · ★4.82 · 1 bedroom · 1 bed · 1 bath,Slavo,Leopoldstadt,48.21753,16.41384,Entire home/apt,94,4,35,0.27,2,321,1
Rental unit in Vienna · ★4.66 · 2 bedrooms · 3 beds · 1 bath,Annemarie And Motti,Leopoldstadt,48.21494,16.37844,Entire home/apt,63,3,716,5.65,4,194,85
Rental unit in Vienna · ★4.62 · 1 bedroom · 2 beds · 1 bath,Regina-Marian,Alsergrund,48.21599,16.34529,Entire home/apt,75,3,115,0.91,1,75,22
Loft in Vienna · ★4.79 · 2 bedrooms · 4 beds · 2.5 baths,Ferdinand,Wieden,48.18982,16.36472,Entire home/apt,139,2,457,3.88,2,0,53
Rental unit in Vienna · ★4.64 · 1 bedroom · 3 beds · 1.5 baths,Anika,Landstra§e,48.19289,16.38533,Entire home/apt,129,2,55,0.46,4,337,4
Rental unit in Vienna · ★4.38 · 1 bedroom · 1 bed · 1 bath,Andreas,Leopoldstadt,48.21945,16.39944,Entire home/apt,64,2,126,1.06,5,277,13
Rental unit in Vienna · ★4.79 · 1 bedroom · 2 beds · 1 bath,Lisa,Penzing,48.2111,16.23353,Entire home/apt,55,4,77,0.61,1,64,3
Rental unit in Vienna · ★4.45 · 1 bedroom · 1 bed · 1 bath,Andreas,Neubau,48.20188,16.33795,Entire home/apt,62,2,184,1.53,5,293,18
Rental unit in Vienna · ★4.85 · 2 bedrooms · 5 beds · 1 bath,Christian,Innere Stadt,48.21133,16.37083,Entire home/apt,201,1,106,0.84,2,258,37
Rental unit in Vienna · ★4.38 · 1 bedroom · 2 beds · 1 bath,Lucia,Leopoldstadt,48.22927,16.3948,Entire home/apt,53,3,9,0.12,2,0,0
Rental unit in Vienna · ★4.44 · 1 bedroom · 1 bed · 1 bath,Harald,Ottakring,48.21265,16.33539,Entire home/apt,79,3,20,0.15,4,0,1
Rental unit in Vienna · ★4.50 · 1 bedroom · 1 bed · 1 bath,Harald,Ottakring,48.21333,16.33329,Entire home/apt,69,3,3,0.02,4,0,0
Rental unit in Vienna · 1 bedroom · 2 beds · 1 bath,Gerald,Brigittenau,48.23187,16.37551,Entire home/apt,95,7,1,0.77,1,357,1
Condo in Vienna · ★4.94 · 2 bedrooms · 3 beds · 1 bath,Johannes & Johanna,Innere Stadt,48.21366,16.37426,Entire home/apt,120,3,514,3.89,1,16,66
Rental unit in Vienna · ★4.74 · 2 bedrooms · 6 beds · 1 bath,Gary,Brigittenau,48.22728,16.37061,Entire home/apt,115,3,125,0.98,4,94,10
Rental unit in Vienna · 1 bedroom · 1 bed · 1.5 shared baths,Christine,Penzing,48.20925,16.2307,Private room,36,2,2,0.78,1,327,2
